Date,Apple,FaceBook,IBM,MicroSoft
1/16/2018,176.190002,178.389999,163.850006,88.349998
1/17/2018,179.100006,177.600006,168.649994,90.139999
1/18/2018,179.259995,179.800003,169.119995,90.099998
1/19/2018,178.460007,181.289993,162.369995,90
1/22/2018,177,185.369995,162.600006,91.610001
1/23/2018,177.039993,189.350006,166.25,91.900002
1/24/2018,174.220001,186.550003,165.369995,91.82
1/25/2018,171.110001,187.479996,165.470001,92.330002
1/26/2018,171.509995,190,167.339996,94.059998
1/29/2018,167.960007,185.979996,166.800003,93.919998
1/30/2018,166.970001,187.119995,163.619995,92.739998
1/31/2018,167.429993,186.889999,163.699997,95.010002
2/1/2018,167.779999,193.089996,162.399994,94.260002
2/2/2018,160.5,190.279999,159.029999,91.779999
2/5/2018,156.490005,181.259995,152.529999,88
2/6/2018,163.029999,185.309998,155.339996,91.330002
2/7/2018,159.539993,180.179993,153.850006,89.610001
2/8/2018,155.149994,171.580002,147.589996,85.010002
2/9/2018,156.410004,176.110001,149.509995,88.18
2/12/2018,162.710007,176.410004,151.399994,89.129997
2/13/2018,164.339996,173.149994,150.75,89.830002
2/14/2018,167.369995,179.520004,154.759995,90.809998
2/15/2018,172.990005,179.960007,156.009995,92.660004
2/16/2018,172.429993,177.360001,156.179993,92
2/20/2018,171.850006,176.009995,155.160004,92.720001
2/21/2018,171.070007,177.910004,153.960007,91.489998
2/22/2018,172.5,178.990005,153.179993,91.730003
2/23/2018,175.5,183.289993,155.520004,94.059998
2/26/2018,178.970001,184.929993,158.580002,95.419998
2/27/2018,178.389999,181.460007,156.550003,94.199997
2/28/2018,178.119995,178.320007,155.830002,93.769997
3/1/2018,175,175.940002,153.809998,92.849998
3/2/2018,176.210007,176.619995,154.490005,93.050003
3/5/2018,176.820007,180.399994,156.949997,93.639999
3/6/2018,176.669998,179.779999,155.720001,93.32
3/7/2018,175.029999,183.710007,158.320007,93.860001
3/8/2018,176.940002,182.339996,156.210007,94.43
3/9/2018,179.979996,185.229996,159.309998,96.540001
3/12/2018,181.720001,184.759995,160.259995,96.769997
3/13/2018,179.970001,181.880005,159.320007,94.410004
3/14/2018,178.440002,184.190002,158.119995,93.849998
3/15/2018,178.649994,183.860001,159.610001,94.18
3/16/2018,178.020004,185.089996,160.259995,94.599998
3/19/2018,175.300003,172.559998,157.350006,92.889999
3/20/2018,175.240005,168.149994,156.199997,93.129997
3/21/2018,171.270004,169.389999,156.690002,92.480003
3/22/2018,168.850006,164.889999,152.089996,89.790001
3/23/2018,164.940002,159.389999,148.889999,87.18
3/26/2018,172.770004,160.059998,153.369995,93.779999
3/27/2018,168.339996,152.220001,151.910004,89.470001
3/28/2018,166.479996,153.029999,152.520004,89.389999
3/29/2018,167.779999,159.789993,153.429993,91.269997
4/2/2018,166.679993,155.389999,150.070007,88.519997
4/3/2018,168.389999,156.110001,149.850006,89.709999
4/4/2018,171.610001,155.100006,154.119995,92.330002
4/5/2018,172.800003,159.339996,154.029999,92.379997
4/6/2018,168.380005,157.199997,150.570007,90.230003
4/9/2018,170.050003,157.929993,152.690002,90.769997
4/10/2018,173.25,165.039993,155.389999,92.879997
4/11/2018,172.440002,166.320007,155.360001,91.860001
4/12/2018,174.139999,163.869995,158.070007,93.580002
4/13/2018,174.729996,164.520004,156.710007,93.080002
4/16/2018,175.820007,164.830002,157.889999,94.169998
4/17/2018,178.240005,168.660004,160.910004,96.07
4/18/2018,177.839996,166.360001,148.789993,96.440002
4/19/2018,172.800003,168.100006,147.699997,96.110001
4/20/2018,165.720001,166.279999,144.899994,95
4/23/2018,165.240005,165.839996,145.860001,95.349998
4/24/2018,162.940002,159.690002,145.559998,93.120003
4/25/2018,163.649994,159.690002,145.940002,92.309998
4/26/2018,164.220001,174.160004,146.720001,94.260002
4/27/2018,162.320007,173.589996,146.479996,95.82
4/30/2018,165.259995,172,144.960007,93.519997
5/1/2018,169.100006,173.860001,145,95
5/2/2018,176.570007,176.070007,142.449997,93.510002
5/3/2018,176.889999,174.020004,141.990005,94.07
5/4/2018,183.830002,176.610001,143.910004,95.160004
5/7/2018,185.160004,177.970001,143.220001,96.220001
5/8/2018,186.050003,178.919998,143,95.809998
5/9/2018,187.360001,182.660004,142.610001,96.940002
5/10/2018,190.039993,185.529999,144.240005,97.910004
5/11/2018,188.589996,186.990005,144.139999,97.699997
5/14/2018,188.149994,186.639999,144.300003,98.029999
5/15/2018,186.440002,184.320007,143.740005,97.32
5/16/2018,188.179993,183.199997,144.630005,97.150002
5/17/2018,186.990005,183.759995,144.5,96.18
5/18/2018,186.309998,182.679993,144.080002,96.360001
5/21/2018,187.630005,184.490005,145.490005,97.599998
5/22/2018,187.160004,183.800003,145.089996,97.5
5/23/2018,188.360001,186.899994,144.669998,98.660004
5/24/2018,188.149994,185.929993,144.070007,98.309998
5/25/2018,188.580002,184.919998,143.639999,98.360001
5/29/2018,187.899994,185.740005,141.220001,98.010002
5/30/2018,187.5,187.669998,142.619995,98.949997
5/31/2018,186.869995,191.779999,141.309998,98.839996
6/1/2018,190.240005,193.990005,141.949997,100.790001
6/4/2018,191.830002,193.279999,143.039993,101.669998
6/5/2018,193.309998,192.940002,143.699997,102.190002
6/6/2018,193.979996,191.339996,144.710007,102.489998
6/7/2018,193.460007,188.179993,145.360001,100.879997
6/8/2018,191.699997,189.100006,146.139999,101.629997
6/11/2018,191.229996,191.539993,146.580002,101.050003
6/12/2018,192.279999,192.399994,146.869995,101.309998
6/13/2018,190.699997,192.410004,146.350006,100.849998
6/14/2018,190.800003,196.809998,145.199997,101.419998
6/15/2018,188.839996,195.850006,145.389999,100.129997
6/18/2018,188.740005,198.309998,144.479996,100.860001
6/19/2018,185.690002,197.490005,143.899994,100.860001
6/20/2018,186.5,202,142.630005,101.870003
6/21/2018,185.460007,201.5,141.25,101.139999
6/22/2018,184.919998,201.740005,141.279999,100.410004
6/25/2018,182.169998,196.350006,138.789993,98.389999
6/26/2018,184.429993,199,139.080002,99.080002
6/27/2018,184.160004,195.839996,137.479996,97.540001
6/28/2018,185.5,196.229996,140.039993,98.629997
6/29/2018,185.110001,194.320007,139.699997,98.610001
7/2/2018,187.179993,197.360001,139.860001,100.010002
7/3/2018,183.919998,192.729996,139.570007,99.050003
7/5/2018,185.399994,198.449997,141.429993,99.760002
7/6/2018,187.970001,203.229996,142.479996,101.160004
7/9/2018,190.580002,204.740005,144.389999,101.849998
7/10/2018,190.350006,203.539993,144.710007,102.120003
7/11/2018,187.880005,202.539993,144.940002,101.980003
7/12/2018,191.029999,206.919998,146.449997,104.190002
7/13/2018,191.330002,207.320007,145.899994,105.43
7/16/2018,190.910004,207.229996,145.460007,104.910004
7/17/2018,191.449997,209.990005,143.490005,105.949997
7/18/2018,190.399994,209.360001,144.520004,105.120003
7/19/2018,191.880005,208.089996,149.240005,104.400002
7/20/2018,191.440002,209.940002,146.350006,106.269997
7/23/2018,191.610001,210.910004,145.699997,107.970001
7/24/2018,193,214.669998,146.380005,107.660004
7/25/2018,194.820007,217.5,146.619995,110.830002
7/26/2018,194.210007,176.259995,146.710007,109.620003
7/27/2018,190.979996,174.889999,145.149994,107.68
7/30/2018,189.910004,171.059998,145.490005,105.370003
7/31/2018,190.289993,172.580002,144.929993,106.080002
8/1/2018,201.5,171.649994,143.5,106.279999
8/2/2018,207.389999,176.369995,142.960007,107.57
8/3/2018,207.990005,177.779999,147.699997,108.040001
8/6/2018,209.070007,185.690002,146.029999,108.129997
8/7/2018,207.110001,183.809998,147.009995,108.879997
8/8/2018,207.25,185.179993,146.889999,109.489998
8/9/2018,208.880005,183.089996,144.770004,109.669998
8/10/2018,207.529999,180.259995,144.479996,109
8/13/2018,208.869995,180.050003,142.710007,108.209999
8/14/2018,209.75,181.110001,143.360001,109.559998
8/15/2018,210.240005,179.529999,143.910004,107.660004
8/16/2018,213.320007,174.699997,145.339996,107.639999
8/17/2018,217.580002,173.800003,146.059998,107.580002
8/20/2018,215.460007,172.5,146.509995,106.870003
8/21/2018,215.039993,172.619995,145.970001,105.980003
8/22/2018,215.050003,173.639999,145.240005,107.059998
8/23/2018,215.490005,172.899994,145.369995,107.559998
8/24/2018,216.160004,174.649994,146.039993,108.400002
8/27/2018,217.940002,177.460007,146.690002,109.599998
8/28/2018,219.699997,176.259995,146.589996,110.260002
8/29/2018,222.979996,175.899994,147.539993,112.019997
8/30/2018,225.029999,177.639999,145.929993,111.949997
8/31/2018,227.630005,175.729996,146.479996,112.330002
9/4/2018,228.360001,171.160004,145.679993,111.709999
9/5/2018,226.869995,167.179993,146.660004,108.489998
9/6/2018,223.100006,162.529999,146.389999,108.739998
